I001,12:00-15:00,01-15-2023,New York,London,250,50,3500
I002,14:30-17:30,02-20-2023,Los Angeles,Tokyo,200,40,5800
I003,08:00-11:00,03-10-2023,Miami,Paris,180,35,4200
I004,16:00-19:00,04-05-2023,Chicago,Sydney,300,60,9500
I005,10:30-13:30,05-18-2023,San Francisco,Dubai,220,45,8300
I006,09:00-12:00,06-22-2023,Houston,Rome,190,38,5600
I007,15:30-18:30,07-30-2023,Miami,Beijing,280,55,7200
I008,11:00-14:00,08-12-2023,Los Angeles,Moscow,240,48,6700
I009,13:45-16:45,09-25-2023,New York,Singapore,270,52,9200
I010,07:30-10:30,10-08-2023,Chicago,London,230,46,3800
